generator_output_mw,turbine_speed_rpm,efficiency_percent,pressure_bar,vibration_levels_mm_s,temperature_c,torque_knm
0,0,0,0.092621269,2.977342184,6.914109073,0
0,399.6286435,0,2.743451889,7.767304749,33.8952339,0
0.954088236,1143.918374,28.85220128,1.390668794,22.45454196,30.73001405,7.964616831
10.45906002,951.9579942,65.36912511,5.266015131,5.380245029,43.5467996,104.9170938
10.16692285,493.836717,65.41197488,3.286080788,8.952994387,33.41847392,196.5972928
1.353572074,1237.763691,23.01651874,4.4802963,20.3329522,70.39303863,10.44275356
7.657512843,372.1731399,54.97032452,3.974772709,10.55150552,53.90316461,196.4780727
0,238.1765429,0,1.226731121,4.864836106,29.5669582,0
15.48943077,730.1575385,96.80894234,3.266907848,3.054218773,40.41886025,202.5770612
0,0,0,0.448553968,4.819546571,10.23232813,0
9.530112499,711.6420115,63.0597674,3.966198615,11.45201104,47.36823972,127.8815321
0,0,0,6.64845778,6.144864467,49.47400565,0
0,1041.886266,0,2.29677578,4.933193438,596.1007317,0
14.89940217,781.9736888,93.12126358,6.720374882,6.412591922,35.16609319,181.9483345
13.0805512,746.8985337,81.753445,5.372919122,7.099335881,39.86743631,167.2383293
0,0,0,0.194558703,2.724324236,17.9463336,0
9.786914936,709.1083372,64.78339302,4.082288686,11.69182782,44.66169418,131.7967206
2.582423745,1044.745928,18.92897735,1.400372208,21.38858443,32.46057931,23.60414105
0,471.4147795,0,2.333505963,5.535001794,27.7053466,0
9.163523547,1199.332041,57.27202217,3.141814829,9.973139585,30.44647836,72.96161624
8.419074676,604.7087543,54.97779958,4.118486933,11.4260177,40.64930653,132.9503509
1.597004755,986.6640917,18.88273579,1.682218608,20.7188247,35.07376932,15.45639715
9.910015538,695.6166322,57.78647743,4.473172137,11.6675057,40.95792574,136.0428621
2.610223933,1208.382554,19.83903674,3.117029213,21.09808209,76.54002556,20.62741009
0,0,0,0.841995911,3.31653885,24.41212102,0
0,0,0,0.052874912,3.175912841,5.345680199,0
8.76359342,651.7575895,51.70470088,2.847169837,10.87001387,47.12650054,128.4007338
5.918648935,1138.208371,37.72390991,2.788822188,1.68054375,538.7328578,49.65605201
0,0,0,6.325906358,9.468415081,38.66346348,0
11.29373609,1114.847711,70.58585055,4.089346037,6.789709405,27.17668538,96.73719058
6.955710524,285.6900038,47.1627574,3.137591554,10.41446525,42.21726102,232.4972588
10.07969985,304.8074391,69.76409337,4.809963594,8.462476014,41.76667668,315.7863983
2.447074227,1223.548732,32.95981005,5.04659218,21.7413776,76.15229904,19.09841182
0,0,0,7.998327558,9.606860782,34.73280305,0
11.76402921,470.406519,73.12628302,3.509352896,8.246712819,33.79779876,238.8108996
8.176968526,1001.451356,51.10605329,4.748885797,6.932020682,41.19848477,77.97113375
0,0,0,1.2235731,3.28073314,15.85326701,0
10.10671012,1174.127426,63.16693822,5.021905224,2.267617685,32.80143418,82.19889111
11.26985196,453.6798214,66.5463739,4.044763309,9.450386107,31.34236886,237.2138979
12.63256244,1105.098795,78.95351522,4.990625262,4.600219801,38.17134403,109.1595484
4.713215272,1017.399645,27.37473746,4.513940139,1.87782035,589.7668854,44.23816219
14.22493877,967.7594842,88.90586731,4.684460413,7.268106051,30.14087966,140.3635526
4.699532741,1205.514233,45.82810512,4.270437984,21.15692873,60.8674354,37.22662971
0,0,0,7.200744604,9.540780712,38.9408241,0
0,0,0,0.990309663,2.615219824,11.17178343,0
0,478.0979384,0,2.685077333,4.522013771,22.17612141,0
9.810629436,671.0187099,56.85991048,3.542219681,10.4606757,39.04507903,139.6154962
0,0,0,0.440334761,0.485125041,15.24575826,0
0,0,0,7.666420356,6.018519326,34.08119608,0
1.274161224,1099.879528,6.472237536,1.385350018,21.58715771,35.66258265,11.06243285
13.77883763,1062.756967,86.11773521,5.948697095,9.449903811,35.87215688,123.8083694
0,0,0,7.312230178,9.71669047,34.14263898,0
0,0,0,6.199287456,9.528092837,44.37008752,0
11.83084472,411.7949871,71.70754123,3.428745035,8.979167626,32.08764713,274.3507052
0,478.2961442,0,1.654795204,4.334027687,39.49946658,0
0,0,0,7.388624199,7.967020619,42.33385777,0
0,0,0,7.783063729,6.384524001,38.27410423,0
14.56932953,1013.684902,91.05830959,3.781161879,3.296478558,25.39428191,137.2486149
8.943893754,888.1353729,55.89933596,3.067008283,7.283207595,35.77347911,96.16540079
0,0,0,1.501258187,0.045587417,14.17140752,0
11.35838765,340.661862,72.92798782,4.135472012,9.233616094,31.8460626,318.3937637
6.252756126,313.2939965,43.81492495,3.065954396,12.24853737,43.38047894,190.5859142
10.90130659,445.6266581,68.67717816,4.970065578,8.277388092,43.70409976,233.6031921
11.67404866,386.3948171,73.69979165,4.176610575,9.167939146,31.8596695,288.510477
0.281741025,797.7070967,12.99445084,3.306214596,20.84271418,46.51446791,3.372702361
0,0,0,1.037131971,4.60182697,17.41376772,0
0,0,0,0.792583616,0.147609429,13.82891707,0
12.94745054,932.0055722,80.92156586,4.367731163,3.850766928,27.69341857,132.6591266
0,335.3156815,0,2.851206204,6.954116201,35.31323854,0
9.127494871,689.7908438,64.96803099,4.201419025,11.74275738,47.6583082,126.3588179
0,0,0,0.712165685,3.991837394,15.11620793,0
13.22810089,939.1880041,82.67563057,5.129683166,9.235310054,36.9635612,134.4981602
9.154293147,789.4972416,57.21433217,3.586310181,7.492223933,32.98450194,110.7249724
10.24189225,306.853834,67.57215629,4.97833729,8.965891766,44.76118584,318.7278628
0,0,0,0.694551608,0.384473269,15.964859,0
3.610277812,1418.004185,10.45327047,3.695803472,19.78108185,63.68361063,24.3127728
0,373.6507249,0,1.599280551,7.809665841,24.0553595,0
11.36026925,1139.30858,71.00168282,5.820218344,5.121291337,36.36459951,95.21790871
2.189622474,717.8574097,19.82090693,3.151343311,24.71016883,44.44930229,29.12744806
6.504360832,259.1207682,51.17814385,3.0404834,11.23029,54.15539425,239.7031744
0,313.162857,0,3.950703122,7.77820228,21.0694537,0
0,499.3634389,0,3.315001503,6.309818983,23.59661042,0
1.229030697,1253.201747,32.1856221,6.694412988,20.00257247,64.65891437,9.365115127
8.029034563,722.1767934,50.18146602,5.432642907,9.876536806,41.54683164,106.1673998
0,0,0,6.617915942,7.116973955,46.2944151,0
0,457.3917633,0,1.712207524,6.491846777,20.13742891,0
0,287.4459408,0,3.38202914,6.006257611,27.25982582,0
5.145219297,1339.099198,16.145859,5.881586736,20.88923674,68.29745735,36.69125121
14.90363383,1113.252046,93.14771143,6.529207931,3.407722453,30.71785928,127.8409684
14.48953117,1152.900025,90.55956979,6.863141918,4.696836579,34.82782329,120.0145958
7.790686462,265.6161306,47.67330195,3.274397676,13.94449285,51.12736613,280.0868135
4.159721078,1220.092941,44.28912267,4.002145793,20.44157676,66.58000451,32.55687247
9.066073449,720.0316115,57.20023366,3.048822633,11.57433822,47.37483759,120.2372547
10.83712653,1167.640451,67.73204079,6.183989068,7.212450874,38.2254991,88.6291112
