Taluka,Crop,Cultivated_Area_hec,Total_Water_Requirement_m3_hec,Water_Share_Agriculture,Daily_Water_Agriculture
Atpadi,Jowar,689,3100500,2622282.05514219,14568.233639678832
Atpadi,Sugarcane,2399,14394000,12173884.180524653,67632.68989180363
Atpadi,Groundnut,2028,9734400,8232976.11274831,45738.75618193505
Atpadi,Pulses,1146,4011000,3392347.4675617884,18846.374819787714
Atpadi,Rice,2935,16142500,13652697.331118466,75848.3185062137
Atpadi,Maize,741,3705000,3133544.5941950697,17408.581078861498
Atpadi,Wheat,3112,16182400,13686443.195979027,76035.79553321682
Atpadi,Bajra,3056,14057600,11889370.172026077,66052.05651125599
Khanapur ,Jowar,3573,16078500,13598568.625577714,75547.60347543175
Khanapur ,Sugarcane,4343,26058000,22038840.765326623,122438.00425181458
Khanapur ,Groundnut,661,3172800,2683430.577182758,14907.947651015324
Khanapur ,Pulses,3842,13447000,11372948.490726344,63183.04717070191
Khanapur ,Rice,1775,9762500,8256741.997524797,45870.78887513776
Shirol,Maize,837,4185000,3539509.8857507063,19663.943809726145
Shirol,Wheat,4493,23363600,19760022.26206098,109777.90145589435
Shirol,Bajra,879,4043400,3419750.1247417936,18998.611804121076
Tasgaon,Jowar,2527,11371500,9617571.485260252,53430.952695890286
Tasgaon,Sugarcane,891,5346000,4521438.434700903,25119.102415005014
Tasgaon,Groundnut,4974,23875200,20192713.601977363,112181.74223320758
Tasgaon,Pulses,3599,12596500,10653628.739751201,59186.82633195112
Tasgaon,Rice,3604,19822000,16764675.019199641,93137.08343999801
Tasgaon,Maize,4145,20725000,17528397.22393868,97379.98457743712
Tasgaon,Wheat,3231,16801200,14209800.117676169,78943.33398708982
Tasgaon,Bajra,2070,9522000,8053336.471234941,44740.75817352745
Palus,Jowar,1002,4509000,3813536.4575507613,21186.313653059784
Palus,Sugarcane,4988,29928000,25311935.92849394,140621.86626941076
Palus,Groundnut,1984,9523200,8054351.38446383,44746.39658035461
Palus,Pulses,1063,3720500,3146653.890068221,17481.410500379006
Shahuwadi,Rice,2257,12413500,10498854.472345613,58326.969290808964
Shahuwadi,Maize,2178,10890000,9210337.552168505,51168.541956491696
Shahuwadi,Wheat,2222,11554400,9772261.176563432,54290.339869796844
Shahuwadi,Bajra,3125,14375000,12157814.72106724,67543.41511704022
Panhala,Jowar,4127,18571500,15707050.858594803,87261.39365886002
Panhala,Sugarcane,2163,12978000,10976286.570435524,60979.369835752914
Panhala,Groundnut,3802,18249600,15434800.384945303,85748.8910274739
Hatkanangale,Pulses,1806,6321000,5346055.4331732895,29700.30796207383
Hatkanangale,Rice,1782,9801000,8289303.796951655,46051.68776084253
Hatkanangale,Maize,4913,24565000,20776119.556383777,115422.88642435432
Hatkanangale,Wheat,1163,6047600,5114824.369191391,28415.690939952176
Hatkanangale,Bajra,4243,19517800,16507394.51567626,91707.74730931256
